"old_url","redirect_target","redirect_status","mapping_status","source","old_http_status","title"
"https://sornaz.com/","/","200","preserved-current-route","sitemap:page","200","صفحه اول آموزشگاه موسیقی - سُرناز"
"https://sornaz.com/%d8%a2%d9%82%d8%a7-%d8%ad%d8%b3%db%8c%d9%86%d9%82%d9%84%db%8c/","/analytics/article-details?id=96","301","mapped-article","sitemap:post","200","آقا حسینقلی، برجسته ترین تارزن دوران قاجار و یکی از راویان معتبر ردیف موسیقی ایران - سُرناز"
"https://sornaz.com/%d8%a2%d9%82%d8%a7-%d8%b9%d9%84%db%8c-%d8%a7%da%a9%d8%a8%d8%b1-%d9%81%d8%b1%d8%a7%d9%87%d8%a7%d9%86%db%8c/","/analytics/article-details?id=93","301","mapped-article","sitemap:post","200","آقا علی اکبر فراهانی، نوازنده تار دوره ناصرالدین شاه و قدیمی ترین ردیف دان شناخته شده - سُرناز"
"https://sornaz.com/%d8%a2%d9%82%d8%a7-%d8%ba%d9%84%d8%a7%d9%85-%d8%ad%d8%b3%db%8c%d9%86/","/analytics/article-details?id=94","301","mapped-article","sitemap:post","200","آقا غلام حسین، شاگرد و برادرزاده آقا علی اکبرخان - سُرناز"
"https://sornaz.com/%d8%a2%d9%84%d9%81%d8%b1%d8%af-%da%98%d8%a7%d9%86-%d8%a8%d8%a7%d9%be%d8%aa%db%8c%d8%b3%d8%aa-%d9%84%d9%88%d9%85%d8%b1/","/analytics/article-details?id=106","301","mapped-article","sitemap:post","200","آلفرد ژان باپتیست لومر ملقب به مسيو لومر - سُرناز"
"https://sornaz.com/%d8%a2%d9%88%d8%a7%d8%b2-%d8%a7%d8%a8%d9%88%d8%b9%d8%b7%d8%a7/","/analytics/article-details?id=22","301","mapped-article","sitemap:post","200","آواز ابوعطا یا دستان العرب | شبیه ترین آواز به دستگاه شور از بین 4 آواز فرعی شور - سُرناز"
"https://sornaz.com/%d8%a2%d9%88%d8%a7%d8%b2-%d8%a7%d9%81%d8%b4%d8%a7%d8%b1%db%8c/","/analytics/article-details?id=24","301","mapped-article","sitemap:post","200","آواز افشاری یکی از متعلقات دستگاه شور در ردیف موسیقی ایرانی | شباهت های آواز افشاری به 2 دستگاه سه گاه و شور - سُرناز"
"https://sornaz.com/%d8%a2%d9%88%d8%a7%d8%b2-%d8%a8%db%8c%d8%a7%d8%aa-%d8%a7%d8%b5%d9%81%d9%87%d8%a7%d9%86/","/analytics/article-details?id=31","301","mapped-article","sitemap:post","200","آواز بیات اصفهان در ردیف موسیقی ایرانی | رابطه آواز اصفهان با 2 دستگاه همایون و شور | شباهت آن با گام مینور هارمونیک - سُرناز"
"https://sornaz.com/%d8%a2%d9%88%d8%a7%d8%b2-%d8%a8%db%8c%d8%a7%d8%aa-%d8%aa%d8%b1%da%a9/","/analytics/article-details?id=23","301","mapped-article","sitemap:post","200","آواز بیات ترک یا بیات زند | یکی از 4 آواز متعلق به دستگاه شور - سُرناز"
"https://sornaz.com/%d8%a2%d9%88%d8%a7%d8%b2-%d8%af%d8%b4%d8%aa%db%8c/","/analytics/article-details?id=25","301","mapped-article","sitemap:post","200","آواز دشتی | رایج ترین آواز در بین 4 آواز وابسته به دستگاه شور در ردیف موسیقی ایرانی - سُرناز"
"https://sornaz.com/%d8%a2%da%a9%d9%88%d8%b1%d8%af-%da%86%db%8c%d8%b3%d8%aa%d8%9f/","/analytics/article-details?id=20","301","mapped-article","discovered-link","200","آکورد چیست؟ آکوردهای 3 صدایی و 4 صدایی چگونه به وجود آمدند؟ - سُرناز"
"https://sornaz.com/%d8%a2%da%a9%d9%88%d8%b1%d8%af/","/analytics/article-details?id=20","301","mapped-article","sitemap:post","200","آکورد چیست؟ آکوردهای 3 صدایی و 4 صدایی چگونه به وجود آمدند؟ - سُرناز"
"https://sornaz.com/%d8%a7%d8%a8%d9%88%d8%a7%d9%84%d8%ad%d8%b3%d9%86-%d8%b5%d8%a8%d8%a7/","/analytics/article-details?id=67","301","mapped-article","sitemap:post","200","زندگینامه ابوالحسن صبا، موسیقی دان، آهنگساز برجسته ایرانی | نوازنده ای که همه ساز ها را می نواخت - سُرناز"
"https://sornaz.com/%d8%a7%d8%ad%d9%85%d8%af-%d8%b9%d8%a8%d8%a7%d8%af%db%8c/","/analytics/article-details?id=98","301","mapped-article","sitemap:post","200","احمد عبادی، نوازنده برجسته سه تار و فرزند میرزاعبدالله - سُرناز"
"https://sornaz.com/%d8%a8%d8%a7%d9%81%d8%aa-%d9%85%d9%88%d8%b3%db%8c%d9%82%db%8c/","/analytics/article-details?id=38","301","mapped-article","sitemap:post","200","بافت موسیقی به چه معناست؟ - سُرناز"
"https://sornaz.com/%d8%aa%d8%a6%d9%88%d8%b1%db%8c-%d9%85%d9%88%d8%b3%db%8c%d9%82%db%8c-%d8%a7%db%8c%d8%b1%d8%a7%d9%86%db%8c/","/analytics/article-details?id=13","301","mapped-article","sitemap:post","200","تئوری موسیقی ایرانی، بررسی تئوری دانگ ها و 4 دانگ اساسی در موسیقی ایرانی - سُرناز"
"https://sornaz.com/%d8%aa%d8%a6%d9%88%d8%b1%db%8c-%d9%85%d9%88%d8%b3%db%8c%d9%82%db%8c-%d8%a7%db%8c%d8%b1%d8%a7%d9%86%db%8c%d8%8c-%d8%a8%d8%b1%d8%b1%d8%b3%db%8c-%d8%aa%d8%a6%d9%88%d8%b1%db%8c-%d8%af%d8%a7%d9%86%da%af/","/analytics/article-details?id=13","301","mapped-article","discovered-link","200","تئوری موسیقی ایرانی، بررسی تئوری دانگ ها و 4 دانگ اساسی در موسیقی ایرانی - سُرناز"
"https://sornaz.com/%d8%aa%d8%a6%d9%88%d8%b1%db%8c-%d9%85%d9%88%d8%b3%db%8c%d9%82%db%8c-%da%86%db%8c%d8%b3%d8%aa%d8%9f/","/analytics/article-details?id=5","301","mapped-article","discovered-link","200","تئوری موسیقی چیست؟ چرا و چگونه تئوری موسیقی به وجود آمد؟ 5 مزیت یادگیری تیوری موسیقی - سُرناز"
